Site        X          Y        Z        Latitude      Longitude    Height    Rec. Type    Ant.Type
      ITRF96(m)   ITRF96(m)   ITRF96(m)   WGS84(deg.)   WGS84(deg.)  WGS84(m)
A4 1X F14.2 F14.2 F14.2 F14.7 F14.7 F14.2 2X A7 2X A7
ac07    -2467773.67    -835938.91    5802353.59    65.9615477  -161.2865940        178.00  TRIMBLE  TRM2965
ac08    -2957191.38   -1465089.61    5440397.00    58.9290953  -153.6446760        643.67  TRIMBLE  TRM2965
ac09    -2614062.13   -1862953.05    5493454.77    59.8687761  -144.5238220        368.57  TRIMBLE  TRM2965
ac10    -3581775.68    -967327.26    5170858.05    54.5228944  -164.8867300        170.48  TRIMBLE  TRM5980
ac11    -2571637.60   -1586307.98    5599086.72    61.8073871  -148.3317470        790.84  TRIMBLE  TRM2965
ac12    -3450875.08   -1284086.12    5190636.49    54.8312783  -159.5895400         83.84  TRIMBLE  TRM2965
ac13    -3271199.93   -1482340.32    5253512.42    55.8222121  -155.6224000        222.83  TRIMBLE  TRM2965
ac15    -2720900.14   -1588436.75    5527227.68    60.4816171  -149.7240060        151.42  TRIMBLE  TRM2965
ac17    -2776805.97   -1451443.29    5537859.53    60.6642247  -152.4038210        882.09  TRIMBLE  TRM2965
ac18    -2920685.34   -1536677.48    5439867.66    58.9262564  -152.2495300        214.69  TRIMBLE  TRM2965
ac20    -2673054.90   -1583832.71    5551552.20    60.9294839  -149.3525020         43.66  TRIMBLE  TRM2965
ac23    -2752834.74   -1533597.40    5526823.26    60.4753745  -150.8779290         80.30  TRIMBLE  TRM2965
ac24    -3051337.97   -1317099.12    5425613.66    58.6818581  -156.6527300         35.82  TRIMBLE  TRM2965
ac26    -3030887.20   -1468432.96    5398525.15    58.2148588  -154.1503000        190.13  TRIMBLE  TRM2965
ac27    -2942366.09   -1424747.82    5458729.19    59.2528133  -154.1628800        417.49  TRIMBLE  TRM2965
