hmax        =    300
wind_bottom =      2
wind_top    =     10
critlon     =      0
tbeg, h     =   0.00
tend, h     =  24.00
c_ionex     =      0
c_vert      =      1
time, gamma, az, latp, lonp, tec, tec_filtered
  1.5000   76.85600   38.12800   47.5012  143.2662    2.07200    0.00599
  1.5083   76.68500   38.83900   47.5028  143.2824    2.07400   -0.00541
  1.5167   76.51200   39.53600   47.5043  143.2986    2.07100   -0.01182
  1.5250   76.33700   40.21900   47.5059  143.3150    2.04800   -0.02195
  1.5333   76.16200   40.88800   47.5073  143.3312    2.03700   -0.03194
  1.5417   75.98600   41.54500   47.5087  143.3475    2.03300   -0.02973
  1.5500   75.81000   42.18900   47.5100  143.3639    2.04800   -0.02243
  1.5583   75.63200   42.82100   47.5113  143.3802    2.05400   -0.01294
  1.5667   75.45300   43.44100   47.5125  143.3967    2.05800   -0.00552
  1.5750   75.27400   44.04900   47.5137  143.4131    2.06800   -0.00204
  1.5833   75.09400   44.64700   47.5148  143.4295    2.06500   -0.00423
  1.5917   74.91300   45.23400   47.5158  143.4460    2.05400   -0.01652
  1.6000   74.73100   45.81000   47.5169  143.4626    2.03400   -0.02695
  1.6083   74.54900   46.37700   47.5178  143.4791    2.03700   -0.02832
  1.6167   74.36600   46.93400   47.5187  143.4957    2.05500   -0.01210
  1.6250   74.18300   47.48100   47.5195  143.5123    2.09100    0.01040
  1.6333   73.99900   48.02000   47.5202  143.5289    2.11400    0.02855
  1.6417   73.81400   48.54900   47.5210  143.5455    2.11800    0.03267
  1.6500   73.62900   49.07000   47.5216  143.5622    2.10700    0.03067
  1.6583   73.44400   49.58300   47.5222  143.5789    2.10500    0.02647
  1.6667   73.25800   50.08800   47.5227  143.5956    2.09600    0.02611
  1.6750   73.06900   50.57300   47.5234  143.6124    2.09300    0.02444
  1.6833   72.88000   51.05200   47.5240  143.6292    2.08700    0.02187
  1.6917   72.69100   51.52400   47.5246  143.6459    2.07700    0.02170
  1.7000   72.50100   51.98800   47.5251  143.6628    2.08200    0.02889
  1.7083   72.31100   52.44600   47.5255  143.6796    2.09400    0.03791
  1.7167   72.12100   52.89800   47.5259  143.6965    2.08300    0.03329
  1.7250   71.93000   53.34300   47.5262  143.7134    2.04200    0.01113
  1.7333   71.73900   53.78300   47.5265  143.7304    2.00100   -0.01661
  1.7417   71.54800   54.21600   47.5267  143.7474    1.97700   -0.03667
  1.7500   71.35600   54.64400   47.5268  143.7644    1.96300   -0.04250
  1.7583   71.16400   55.06600   47.5269  143.7814    1.96900   -0.03677
  1.7667   70.97200   55.48300   47.5269  143.7985    1.98300   -0.03038
  1.7750   70.78000   55.89400   47.5269  143.8156    1.97400   -0.04064
  1.7833   70.58700   56.30000   47.5268  143.8327    1.93000   -0.05507
  1.7917   70.39500   56.70200   47.5267  143.8499    1.93100   -0.05205
  1.8000   70.20200   57.09800   47.5265  143.8671    1.97500   -0.03131
  1.8083   70.00900   57.49000   47.5262  143.8843    1.98700   -0.00514
  1.8167   69.81500   57.87700   47.5259  143.9016    2.01000    0.00492
  1.8250   69.62200   58.26000   47.5255  143.9188    2.01100    0.01029
  1.8333   69.42800   58.63900   47.5251  143.9361    2.01600    0.00864
  1.8417   69.23300   59.00400   47.5247  143.9534    2.02200    0.01420
  1.8500   69.03700   59.36500   47.5244  143.9708    2.04700    0.02063
  1.8583   68.84200   59.72200   47.5239  143.9882    2.05400    0.01877
  1.8667   68.64600   60.07600   47.5234  144.0056    2.03400    0.00199
  1.8750   68.45000   60.42600   47.5229  144.0231    2.01200   -0.01723
  1.8833   68.25400   60.77300   47.5223  144.0406    2.01000   -0.02315
  1.8917   68.05800   61.11600   47.5216  144.0581    2.02900   -0.01223
  1.9000   67.86200   61.45600   47.5209  144.0757    2.05800    0.00653
  1.9083   67.66600   61.79300   47.5201  144.0932    2.08000    0.02527
  1.9167   67.47000   62.12600   47.5192  144.1108    2.09800    0.03065
  1.9250   67.27300   62.45700   47.5183  144.1286    2.08400    0.02658
  1.9333   67.07700   62.78400   47.5173  144.1462    2.07500    0.01422
  1.9417   66.88000   63.10900   47.5163  144.1640    2.06700   -0.00099
  1.9500   66.68400   63.43100   47.5152  144.1817    2.04700   -0.01251
  1.9583   66.48800   63.75000   47.5140  144.1995    2.05600   -0.02320
  1.9667   66.29100   64.06600   47.5128  144.2173    2.05700   -0.02529
  1.9750   66.09500   64.37900   47.5115  144.2351    2.06800   -0.03023
  1.9833   65.89800   64.69000   47.5102  144.2530    2.06800   -0.03643
  1.9917   65.70200   64.99900   47.5088  144.2709    2.06500   -0.04193
  2.0000   65.50500   65.30500   47.5073  144.2889    2.07900   -0.04438
  2.0083   65.30700   65.60000   47.5060  144.3069    2.09300   -0.03959
  2.0167   65.10900   65.89400   47.5046  144.3249    2.11900   -0.03088
  2.0250   64.91100   66.18500   47.5031  144.3430    2.15400   -0.02287
  2.0333   64.71300   66.47400   47.5016  144.3611    2.17500   -0.01929
  2.0417   64.51500   66.76100   47.5000  144.3792    2.19700   -0.02610
  2.0500   64.31800   67.04700   47.4983  144.3973    2.20900   -0.03697
  2.0583   64.12000   67.33000   47.4966  144.4155    2.22700   -0.04438
  2.0667   63.92200   67.61100   47.4948  144.4338    2.26900   -0.05019
  2.0750   63.72400   67.89100   47.4930  144.4521    2.29300   -0.05084
  2.0833   63.52600   68.16800   47.4911  144.4704    2.33100   -0.05523
  2.0917   63.32900   68.44400   47.4891  144.4887    2.36500   -0.05327
  2.1000   63.13100   68.71800   47.4871  144.5071    2.41600   -0.04934
  2.1083   62.93300   68.99000   47.4850  144.5256    2.47000   -0.03653
  2.1167   62.73600   69.26100   47.4828  144.5440    2.54400   -0.01950
  2.1250   62.53800   69.53000   47.4806  144.5625    2.61900   -0.00080
  2.1333   62.34100   69.79700   47.4783  144.5810    2.68900    0.00250
